,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-ca-central-1,ec2-eu-central-1,ec2-eu-west-1,ec2-eu-west-2,ec2-sa-east-1,ec2-us-east-1,ec2-us-east-2,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,0,30,134,68,103,142,230,212,226,259,151,137,113,99
ec2-ap-northeast-2,30,0,152,89,132,170,258,232,247,288,172,163,133,119
ec2-ap-south-1,134,152,0,82,237,196,109,119,112,327,183,207,251,247
ec2-ap-southeast-1,68,89,82,0,169,223,292,285,294,341,226,242,195,173
ec2-ap-southeast-2,103,132,237,169,0,233,320,300,295,363,221,209,158,165
ec2-ca-central-1,142,170,196,223,233,0,87,78,76,149,15,24,79,65
ec2-eu-central-1,231,258,109,292,320,87,0,21,16,219,89,98,151,161
ec2-eu-west-1,212,232,119,285,300,78,21,0,11,207,72,80,136,127
ec2-eu-west-2,226,247,112,294,295,76,16,11,0,208,75,86,139,152
ec2-sa-east-1,259,288,327,341,363,149,219,207,208,0,142,156,211,180
ec2-us-east-1,151,172,184,226,221,15,89,72,75,142,0,11,64,79
ec2-us-east-2,137,163,207,242,209,24,98,80,86,156,11,0,52,68
ec2-us-west-1,113,133,251,195,158,79,151,136,140,211,64,52,0,21
ec2-us-west-2,99,119,247,172,165,65,161,127,152,180,79,68,21,0
